Datum,min,max
07/08/2015,13.6,19.6
08/08/2015,9.3,19.2
09/08/2015,8.8,18.4
10/08/2015,2.6,20
11/08/2015,2.9,19.3
12/08/2015,12.9,19.8
13/08/2015,0,16.9
14/08/2015,3.9,17.1
15/08/2015,2.5,15.1
16/08/2015,-1.4,18.9
17/08/2015,0.1,22.6
18/08/2015,1.3,24.6
19/08/2015,0.7,24.2
20/08/2015,1.9,26.3
21/08/2015,5,22.1
22/08/2015,6.2,21.4
23/08/2015,5.5,25.1
24/08/2015,3.8,24.9
25/08/2015,10.4,23
26/08/2015,4.5,17.3
27/08/2015,10.5,17.2
28/08/2015,11.1,15.5
29/08/2015,9.1,17.8
30/08/2015,0.7,18.7
31/08/2015,1,15.2
01/09/2015,4.9,14.2
02/09/2015,-2.1,13.5
03/09/2015,-2.1,16.8
04/09/2015,-1.7,14.6
05/09/2015,5.4,13.3
06/09/2015,2.1,10.7
07/09/2015,3,11.8
08/09/2015,-1.7,12.4
09/09/2015,8.3,15.8
10/09/2015,1,18.1
11/09/2015,-2.6,22.4
12/09/2015,-2.2,19
13/09/2015,3.2,17.7
14/09/2015,-0.7,16.3
15/09/2015,2,14.2
16/09/2015,-0.2,10.5
17/09/2015,10,13.2
18/09/2015,10.3,14.4
19/09/2015,11.7,14.4
20/09/2015,10,13.2
21/09/2015,8.9,13.4
22/09/2015,8.3,10.6
23/09/2015,7.7,11.9
24/09/2015,7.5,14.4
25/09/2015,8.6,12.6
26/09/2015,7,10.8
27/09/2015,6.6,12
28/09/2015,-1.5,11.9
29/09/2015,-2,10.5
30/09/2015,5.7,12
01/10/2015,-0.2,10.9
02/10/2015,-2.9,3.6
03/10/2015,-2.2,6.8
04/10/2015,-3.6,7.2
05/10/2015,-2.5,4.9
06/10/2015,-10,5
07/10/2015,-12.4,3.6
08/10/2015,-4.5,2.2
09/10/2015,-12.2,3.7
10/10/2015,-13.9,5.6
11/10/2015,-10.6,6.2
12/10/2015,-4.5,10.5
13/10/2015,-3.1,7
14/10/2015,-3.9,6.2
15/10/2015,-1.4,8.4
16/10/2015,2.8,8.5
17/10/2015,1.7,9
18/10/2015,4.6,9.6
19/10/2015,-3.7,7.3
20/10/2015,-2.8,1.3
21/10/2015,-0.2,3.5
22/10/2015,2.6,5.2
23/10/2015,-1.1,4.2
24/10/2015,-7.8,3.2
25/10/2015,-0.8,6.4
26/10/2015,-6.5,2.6
27/10/2015,-6,0.1
28/10/2015,-5.6,1.2
29/10/2015,-11.9,-0.1
30/10/2015,-15.7,-0.5
31/10/2015,-6.3,2.9
01/11/2015,-4.2,7.5
02/11/2015,-2.2,6.9
03/11/2015,-2,7.2
04/11/2015,-2.4,4.7
05/11/2015,-8.1,2.3
06/11/2015,-13.1,-1.5
07/11/2015,-3.4,0
08/11/2015,-0.1,0.8
09/11/2015,-0.4,0.8
10/11/2015,0.2,0.7
11/11/2015,-2,0.4
12/11/2015,-4.8,-2
13/11/2015,-4.8,-0.6
14/11/2015,-1,1.1
15/11/2015,-1,0.7
16/11/2015,-2.4,-0.4
17/11/2015,-2.4,-0.3
18/11/2015,-2.7,0.1
19/11/2015,-2.2,0.1
20/11/2015,-5.5,-2.2
21/11/2015,-19.3,-5.5
22/11/2015,-17,-4.2
23/11/2015,-24.5,-8.8
24/11/2015,-21.3,0.5
25/11/2015,-3.7,0.5
26/11/2015,-3.7,-1.4
27/11/2015,-4,1.8
28/11/2015,-0.5,2.3
29/11/2015,-8.2,1.9
30/11/2015,-0.9,1.3
01/12/2015,-3,-0.2
02/12/2015,-18.4,-2.9
03/12/2015,-19.2,-1.3
04/12/2015,-10.9,-1.3
05/12/2015,-21.9,-0.8
06/12/2015,-9.5,0.3
07/12/2015,-11,-0.4
08/12/2015,-12.1,-0.4
09/12/2015,-12.5,-0.6
10/12/2015,-8.8,1.7
11/12/2015,-5.3,-2.8
12/12/2015,-12.7,-1.5
13/12/2015,-26.8,-10.9
14/12/2015,-26.7,-13.7
15/12/2015,-20.3,-6.7
16/12/2015,-23.3,-8.7
17/12/2015,-25.8,-9.4
18/12/2015,-11.2,-3.4
19/12/2015,-11.8,-1.9
20/12/2015,-11.6,0.1
21/12/2015,-10.4,0.3
22/12/2015,-18,-3
23/12/2015,-21.1,-8.7
24/12/2015,-8.9,-3.3
25/12/2015,-4.7,1.7
26/12/2015,-8.4,1.4
27/12/2015,-20,-6.7
28/12/2015,-25.3,-15
29/12/2015,-27.7,-3.5
30/12/2015,-5.9,-3.3
31/12/2015,-3.3,1.4
01/01/2016,-4.2,1.2
02/01/2016,-6.3,-3.6
03/01/2016,-9.4,-6.3
04/01/2016,-27.9,-9.3
05/01/2016,-31.8,-18.3
06/01/2016,-38,-28.7
07/01/2016,-37,-30.5
08/01/2016,-33.7,-8.5
09/01/2016,-23.3,-8.4
10/01/2016,-24,-9.3
11/01/2016,-22.4,-19.2
12/01/2016,-24.1,-20
13/01/2016,-34.1,-22.5
14/01/2016,-30.4,-8.9
15/01/2016,-21.3,-5.2
16/01/2016,-11,-3.7
17/01/2016,-29.3,-6.7
18/01/2016,-33.5,-21.9
19/01/2016,-34.5,-24.6
20/01/2016,-36.2,-31.9
21/01/2016,-37.5,-33.5
22/01/2016,-35.3,-24.3
23/01/2016,-24.9,-17.3
24/01/2016,-17.3,-12.3
25/01/2016,-12.7,-6.6
26/01/2016,-8,-5
27/01/2016,-18.3,-2.7
28/01/2016,-20.4,-1.6
29/01/2016,-25.5,-14.5
30/01/2016,-14.5,0.6
31/01/2016,-3.5,-1.1
01/02/2016,-19.3,-1.2
02/02/2016,-22,-6.3
03/02/2016,-23.2,-7.1
04/02/2016,-24,-9.2
05/02/2016,-13.5,-5
06/02/2016,-26.2,-7
07/02/2016,-9.4,-5.7
08/02/2016,-6,1.5
09/02/2016,0.1,1.3
10/02/2016,-1.8,0.4
11/02/2016,-3.7,-0.7
12/02/2016,-11.2,-2.8
13/02/2016,-4.7,-1.8
14/02/2016,-5.5,-1.5
15/02/2016,-8.2,-1.4
16/02/2016,-15.9,-4
17/02/2016,-18.7,-3.3
18/02/2016,-5.5,-1.9
19/02/2016,-5.3,-1.9
20/02/2016,-8.3,-1.4
21/02/2016,-2.5,-1.3
22/02/2016,-6.3,-1.1
23/02/2016,-8.2,-4.2
24/02/2016,-9.4,-4.1
25/02/2016,-11.6,-7.5
26/02/2016,-22.5,-5.7
27/02/2016,-27.8,-14
28/02/2016,-28.5,-12
29/02/2016,-25.2,-6.1
01/03/2016,-24.9,-5.3
02/03/2016,-9.8,-2.8
03/03/2016,-12.6,-6.9
04/03/2016,-13.9,-6.4
05/03/2016,-6.6,-3.3
06/03/2016,-3.7,-1.7
07/03/2016,-3.2,-2.2
08/03/2016,-3.6,0.4
09/03/2016,-2.4,0.5
10/03/2016,-3.7,0.4
11/03/2016,-3.7,-1.2
12/03/2016,-7,-0.3
13/03/2016,-7.2,-2.2
14/03/2016,-12.3,4.6
15/03/2016,-3.3,10.4
16/03/2016,1.5,6.3
17/03/2016,-9,2.3
18/03/2016,-11.6,-3.7
