Datum,precip_mm
19/11/2012,0
20/11/2012,0.8
21/11/2012,0
22/11/2012,0.1
23/11/2012,0.9
24/11/2012,0.4
25/11/2012,0
26/11/2012,0
27/11/2012,0
28/11/2012,0
29/11/2012,0
30/11/2012,0.1
01/12/2012,1.1
02/12/2012,1.9
03/12/2012,0.4
04/12/2012,1.1
05/12/2012,0.1
06/12/2012,0
07/12/2012,1.2
08/12/2012,3.7
09/12/2012,0.7
10/12/2012,0.2
11/12/2012,0.4
12/12/2012,1.5
13/12/2012,4.7
14/12/2012,0.5
15/12/2012,3.5
16/12/2012,1.1
17/12/2012,2.9
18/12/2012,0.4
19/12/2012,0.8
20/12/2012,0.5
21/12/2012,0.4
22/12/2012,0
23/12/2012,0.1
24/12/2012,0
25/12/2012,0.1
26/12/2012,1.9
27/12/2012,3.9
28/12/2012,0.3
29/12/2012,1.9
30/12/2012,3.8
31/12/2012,1.6
01/01/2013,0.8
02/01/2013,0
03/01/2013,0
04/01/2013,0.1
05/01/2013,0.2
06/01/2013,3.6
07/01/2013,0.1
08/01/2013,2
09/01/2013,0.7
10/01/2013,0.1
11/01/2013,0
12/01/2013,0
13/01/2013,0
14/01/2013,0.1
15/01/2013,0
16/01/2013,0.3
17/01/2013,0
18/01/2013,0
19/01/2013,0
20/01/2013,0
21/01/2013,0
22/01/2013,0
23/01/2013,0
24/01/2013,0
25/01/2013,0
26/01/2013,1.7
27/01/2013,1.7
28/01/2013,6.2
29/01/2013,1.3
30/01/2013,5.4
31/01/2013,5
01/02/2013,3.6
02/02/2013,1.1
03/02/2013,5.1
04/02/2013,1.6
05/02/2013,0.2
06/02/2013,0.3
07/02/2013,0.1
08/02/2013,0.4
09/02/2013,0.1
10/02/2013,0.2
11/02/2013,0
12/02/2013,0
13/02/2013,1.4
14/02/2013,0.2
15/02/2013,0.6
16/02/2013,0
17/02/2013,0.6
18/02/2013,0
19/02/2013,0
20/02/2013,0
21/02/2013,0
22/02/2013,0
23/02/2013,0
24/02/2013,0
25/02/2013,0
26/02/2013,0.8
27/02/2013,0.6
28/02/2013,2.1
01/03/2013,0
02/03/2013,0.1
03/03/2013,0.5
04/03/2013,0.1
05/03/2013,2.5
06/03/2013,0.2
07/03/2013,0.9
08/03/2013,0.2
09/03/2013,0
10/03/2013,0
11/03/2013,0
12/03/2013,0
13/03/2013,0.9
14/03/2013,0.8
15/03/2013,0
16/03/2013,0
17/03/2013,0
18/03/2013,0
19/03/2013,0
20/03/2013,0.3
21/03/2013,0
22/03/2013,0
23/03/2013,0
24/03/2013,0
25/03/2013,0
26/03/2013,1.5
27/03/2013,0
28/03/2013,0
29/03/2013,0
30/03/2013,0
31/03/2013,0.1
01/04/2013,0
02/04/2013,0
03/04/2013,0
04/04/2013,0
05/04/2013,0
06/04/2013,0
07/04/2013,0
08/04/2013,0
09/04/2013,1.8
10/04/2013,0
11/04/2013,0
12/04/2013,0
13/04/2013,0
14/04/2013,2.5
15/04/2013,0
16/04/2013,0
17/04/2013,0
18/04/2013,14.4
19/04/2013,1.7
20/04/2013,0
21/04/2013,0
22/04/2013,1
23/04/2013,2.6
24/04/2013,0.2
25/04/2013,0.1
26/04/2013,0.3
27/04/2013,0
28/04/2013,1.7
29/04/2013,5.4
30/04/2013,0.5
01/05/2013,0
02/05/2013,0
03/05/2013,0
04/05/2013,0
05/05/2013,0
06/05/2013,0
07/05/2013,0
08/05/2013,0.9
09/05/2013,0.1
10/05/2013,0.3
11/05/2013,0.5
12/05/2013,1.6
13/05/2013,2.4
14/05/2013,4.3
15/05/2013,0.1
16/05/2013,0
17/05/2013,0
18/05/2013,0
19/05/2013,0
20/05/2013,2.6
21/05/2013,8.2
22/05/2013,0
23/05/2013,0
24/05/2013,0
25/05/2013,0
26/05/2013,0
27/05/2013,0
28/05/2013,0
29/05/2013,0
30/05/2013,0
31/05/2013,0
01/06/2013,3.6
02/06/2013,8
03/06/2013,9.2
04/06/2013,1
05/06/2013,0
06/06/2013,0
07/06/2013,0
08/06/2013,0
09/06/2013,0.2
10/06/2013,0.2
11/06/2013,0
12/06/2013,0
13/06/2013,0
14/06/2013,3.4
15/06/2013,0
16/06/2013,12.3
17/06/2013,9.3
18/06/2013,5.1
19/06/2013,0.5
20/06/2013,1.9
21/06/2013,0
22/06/2013,11.5
23/06/2013,0
24/06/2013,0
25/06/2013,0.5
26/06/2013,0.6
27/06/2013,2.6
28/06/2013,2.8
29/06/2013,1.8
30/06/2013,9.7
01/07/2013,7.6
02/07/2013,5.3
03/07/2013,0
04/07/2013,0
05/07/2013,0.3
06/07/2013,0
07/07/2013,0.4
08/07/2013,1.1
09/07/2013,2.8
10/07/2013,0
11/07/2013,0
12/07/2013,0
13/07/2013,6.9
14/07/2013,0
15/07/2013,4.6
16/07/2013,6
17/07/2013,0
18/07/2013,0.6
19/07/2013,0
20/07/2013,0.4
21/07/2013,1
22/07/2013,0
23/07/2013,0
24/07/2013,0
25/07/2013,0
26/07/2013,0
27/07/2013,0
28/07/2013,0
29/07/2013,0
30/07/2013,0.5
31/07/2013,0.2
01/08/2013,1.7
02/08/2013,0
03/08/2013,0
04/08/2013,0
05/08/2013,0.2
06/08/2013,0
07/08/2013,1.6
08/08/2013,0
09/08/2013,0
10/08/2013,0
11/08/2013,0.1
12/08/2013,7.8
13/08/2013,0
14/08/2013,0
15/08/2013,4.3
16/08/2013,0
17/08/2013,6.4
18/08/2013,0.5
19/08/2013,5.2
20/08/2013,1.9
21/08/2013,0
22/08/2013,0
23/08/2013,0
24/08/2013,0
25/08/2013,0
26/08/2013,0
27/08/2013,0
28/08/2013,0
29/08/2013,0.1
30/08/2013,0
31/08/2013,0
01/09/2013,0
02/09/2013,0
03/09/2013,0
04/09/2013,0
05/09/2013,0
06/09/2013,0
07/09/2013,0
08/09/2013,0
09/09/2013,0
10/09/2013,0
11/09/2013,2
12/09/2013,0
13/09/2013,0.2
14/09/2013,0
15/09/2013,0
16/09/2013,0
17/09/2013,1.2
18/09/2013,1.1
19/09/2013,0.4
20/09/2013,0
21/09/2013,3.6
22/09/2013,9.7
23/09/2013,0
24/09/2013,0
25/09/2013,2.7
26/09/2013,7.2
27/09/2013,0.1
28/09/2013,0
29/09/2013,0.4
30/09/2013,0
01/10/2013,2.7
02/10/2013,0
03/10/2013,0
04/10/2013,0
05/10/2013,1.4
06/10/2013,0.1
07/10/2013,0
08/10/2013,0.1
09/10/2013,13.5
10/10/2013,0
11/10/2013,0
12/10/2013,0
13/10/2013,0
14/10/2013,0
15/10/2013,0.3
16/10/2013,0
17/10/2013,0
18/10/2013,0
19/10/2013,0
20/10/2013,0
21/10/2013,0
22/10/2013,2
23/10/2013,7.1
24/10/2013,6
25/10/2013,5.2
26/10/2013,2.2
27/10/2013,2.8
28/10/2013,11.9
29/10/2013,3.7
30/10/2013,1.4
31/10/2013,0
01/11/2013,1
02/11/2013,0.3
03/11/2013,0.7
04/11/2013,8.9
05/11/2013,0.9
06/11/2013,0
07/11/2013,0.3
08/11/2013,1.1
09/11/2013,0.3
10/11/2013,1.7
11/11/2013,0.4
12/11/2013,0
13/11/2013,0
14/11/2013,0
15/11/2013,1.2
16/11/2013,3.8
17/11/2013,0.1
18/11/2013,0
19/11/2013,0
20/11/2013,0
21/11/2013,0.1
22/11/2013,0
23/11/2013,0
24/11/2013,0
