Datum,precip_mm
27/03/2010,0.6
28/03/2010,1.1
29/03/2010,2
30/03/2010,1.2
31/03/2010,0
01/04/2010,0
02/04/2010,0
03/04/2010,0
04/04/2010,0
05/04/2010,0
06/04/2010,0
07/04/2010,0
08/04/2010,0.2
09/04/2010,0
10/04/2010,0
11/04/2010,0
12/04/2010,0.2
13/04/2010,0
14/04/2010,0
15/04/2010,3.5
16/04/2010,0
17/04/2010,0
18/04/2010,0
19/04/2010,0
20/04/2010,0
21/04/2010,0.4
22/04/2010,0
23/04/2010,0.7
24/04/2010,0
25/04/2010,0
26/04/2010,0.1
27/04/2010,0
28/04/2010,0
29/04/2010,0
30/04/2010,4.1
01/05/2010,6.6
02/05/2010,0.5
03/05/2010,0
04/05/2010,0
05/05/2010,0.2
06/05/2010,0
07/05/2010,0
08/05/2010,0
09/05/2010,0.6
10/05/2010,0.4
11/05/2010,0
12/05/2010,0
13/05/2010,5.6
14/05/2010,2.2
15/05/2010,0.1
16/05/2010,0
17/05/2010,0
18/05/2010,0.8
19/05/2010,0
20/05/2010,0.3
21/05/2010,0
22/05/2010,0.7
23/05/2010,6.6
24/05/2010,8
25/05/2010,5.2
26/05/2010,0
27/05/2010,0
28/05/2010,0
29/05/2010,0
30/05/2010,1.1
31/05/2010,0.3
01/06/2010,0
02/06/2010,0
03/06/2010,8
04/06/2010,0.1
05/06/2010,0
06/06/2010,0
07/06/2010,0.1
08/06/2010,0
09/06/2010,0
10/06/2010,0.2
11/06/2010,0
12/06/2010,0
13/06/2010,0
14/06/2010,0.8
15/06/2010,0
16/06/2010,0
17/06/2010,0
18/06/2010,0
19/06/2010,25.8
20/06/2010,16.5
21/06/2010,0
22/06/2010,0.3
23/06/2010,0
24/06/2010,0
25/06/2010,0
26/06/2010,12.9
27/06/2010,0.9
28/06/2010,0
29/06/2010,0.2
30/06/2010,0.6
01/07/2010,0
02/07/2010,0
03/07/2010,0
04/07/2010,15.4
05/07/2010,1.6
06/07/2010,0
07/07/2010,2.6
08/07/2010,4.4
09/07/2010,9.5
10/07/2010,0.7
11/07/2010,0.2
12/07/2010,0
13/07/2010,5.2
14/07/2010,10.9
15/07/2010,0
16/07/2010,0.7
17/07/2010,0
18/07/2010,4.7
19/07/2010,0
20/07/2010,0.4
21/07/2010,6.2
22/07/2010,33
23/07/2010,0
24/07/2010,0
25/07/2010,0
26/07/2010,0
27/07/2010,7.1
28/07/2010,0
29/07/2010,0.2
30/07/2010,0
31/07/2010,0
01/08/2010,4.8
02/08/2010,1
03/08/2010,1.8
04/08/2010,11.9
05/08/2010,0.3
06/08/2010,0
07/08/2010,0.8
08/08/2010,0
09/08/2010,0
10/08/2010,0.1
11/08/2010,0
12/08/2010,0
13/08/2010,2.6
