Datum,min,max
24/08/2009,8.2,13.4
25/08/2009,0.7,17.2
26/08/2009,7.7,11.7
27/08/2009,6.7,18.5
28/08/2009,10.4,14.5
29/08/2009,10.1,14.3
30/08/2009,9.4,13.4
31/08/2009,5.3,17
01/09/2009,10.3,15.3
02/09/2009,4.7,16.4
03/09/2009,0.2,11
04/09/2009,9.9,13.7
05/09/2009,3.7,10.9
06/09/2009,6.2,9.5
07/09/2009,4.8,12.4
08/09/2009,6.3,16.2
09/09/2009,6.6,13.4
10/09/2009,4.4,12.7
11/09/2009,0,12.4
12/09/2009,2.7,14.4
13/09/2009,6.1,13.4
14/09/2009,5.8,16.5
15/09/2009,6,12.6
16/09/2009,0.6,8.4
17/09/2009,-0.6,6.7
18/09/2009,2,10.2
19/09/2009,3,14
20/09/2009,3.4,11.9
21/09/2009,2,10.1
22/09/2009,6,11
23/09/2009,2,8.5
24/09/2009,-4.8,7.7
25/09/2009,4.3,10.9
26/09/2009,2.2,8
27/09/2009,-2.3,5.2
28/09/2009,-4.5,5.7
29/09/2009,-5.8,4.3
30/09/2009,-4.9,4.5
01/10/2009,-5.6,3.3
02/10/2009,-9.6,3.7
03/10/2009,-3.5,1.1
04/10/2009,-6.2,1.3
05/10/2009,-12.3,4
06/10/2009,-6.5,-0.1
07/10/2009,-5.6,1.1
08/10/2009,-6.8,1.7
09/10/2009,-9,1.4
10/10/2009,-14.5,1.1
11/10/2009,-16.4,-1.1
12/10/2009,-15,0.5
13/10/2009,-16,-0.4
14/10/2009,-0.9,9.4
15/10/2009,-1.5,6.4
16/10/2009,-4.7,3.3
17/10/2009,-0.8,5.5
18/10/2009,-1.6,1
19/10/2009,-7.8,-1.2
20/10/2009,-8.6,0
21/10/2009,-7.7,-2.2
22/10/2009,-4.7,-1.7
23/10/2009,-6.2,-3.8
24/10/2009,-5.8,-0.8
25/10/2009,-0.9,0.2
26/10/2009,-3.9,-0.7
27/10/2009,-7.9,0
28/10/2009,-15.1,-3.6
29/10/2009,-16.1,-5.3
30/10/2009,-6.3,-0.6
31/10/2009,-5.8,-1.4
01/11/2009,-8.1,1.6
02/11/2009,1.3,2.3
03/11/2009,0.7,3.2
04/11/2009,-4.5,1.1
05/11/2009,-4.4,-3.1
06/11/2009,-6.7,-3
07/11/2009,-7.5,-4
08/11/2009,-19.1,-7.4
09/11/2009,-20.1,-10.3
10/11/2009,-10.4,-6.6
11/11/2009,-10.6,-4.8
12/11/2009,-19.3,-3.9
13/11/2009,-22.9,-4.5
14/11/2009,-5.5,-1.5
15/11/2009,-1.5,1.4
16/11/2009,-0.5,1.5
17/11/2009,-1,-0.2
18/11/2009,-3.3,-0.6
19/11/2009,-2.8,-1
20/11/2009,-3.8,-0.8
21/11/2009,-12.8,-3.1
22/11/2009,-12.7,-2.5
23/11/2009,-3.4,-1.5
24/11/2009,-2.4,-0.1
25/11/2009,-3.3,-0.1
26/11/2009,-2.8,0.6
27/11/2009,-2.8,0.4
28/11/2009,-21.8,-2.7
29/11/2009,-20.8,-14.9
30/11/2009,-15,-8
01/12/2009,-12.2,-0.5
02/12/2009,-18.3,-5.2
03/12/2009,-12,-6.7
04/12/2009,-7.9,-5.1
05/12/2009,-6,0.3
06/12/2009,-2.6,0.4
07/12/2009,-4.8,0.3
08/12/2009,-7.3,-4.3
09/12/2009,-12,-7.3
10/12/2009,-14,-4.7
11/12/2009,-10.3,-2.1
12/12/2009,-14.1,-1.5
13/12/2009,-17.3,-12.5
14/12/2009,-31.4,-17.1
15/12/2009,-30,-18.6
16/12/2009,-31,-3.7
17/12/2009,-9.5,-3.3
18/12/2009,-21.4,-9.1
19/12/2009,-19.1,-11.3
20/12/2009,-22.3,-11.3
21/12/2009,-17.3,-11.1
22/12/2009,-27.8,-11.2
23/12/2009,-23.9,-9.4
24/12/2009,-30.8,-19.4
25/12/2009,-25.3,-17
26/12/2009,-28.4,-16.8
27/12/2009,-19.4,-15.8
28/12/2009,-17.7,-12.5
29/12/2009,-28.1,-13.7
30/12/2009,-18.3,-13.5
31/12/2009,-22.6,-14.2
01/01/2010,-20.7,-17
02/01/2010,-27.2,-17.3
03/01/2010,-32.6,-16.5
04/01/2010,-32.2,-17.9
05/01/2010,-35.1,-18.6
06/01/2010,-36.4,-23.8
07/01/2010,-32.5,-24.4
08/01/2010,-27.8,-0.6
09/01/2010,-1.8,3
10/01/2010,-1.5,2.7
11/01/2010,-12.6,1.2
12/01/2010,-14.8,-2.3
13/01/2010,-20.3,-7.7
14/01/2010,-21.6,-13.8
15/01/2010,-28.3,-13.9
16/01/2010,-23.8,-7.2
17/01/2010,-7.5,-5.1
18/01/2010,-7.6,-4.4
19/01/2010,-9.1,-6.4
20/01/2010,-7.4,-4.8
21/01/2010,-18.6,-6.3
22/01/2010,-30.8,-13.4
23/01/2010,-31.8,-24.5
24/01/2010,-24.5,-8.5
25/01/2010,-8.5,-3.1
26/01/2010,-5.5,-2.9
27/01/2010,-24.6,-5.3
28/01/2010,-29.7,-23.5
29/01/2010,-25.9,-18.8
30/01/2010,-27.5,-15.3
31/01/2010,-29.9,-15.3
01/02/2010,-31,-12.3
02/02/2010,-23.8,-7.1
03/02/2010,-28.7,-17.5
04/02/2010,-25,-11.9
05/02/2010,-15.5,-4.1
06/02/2010,-15.6,-5.1
07/02/2010,-19,-8.1
08/02/2010,-25.2,-9.7
09/02/2010,-28.8,-14.8
10/02/2010,-30.4,-15.9
11/02/2010,-30.9,-8.2
12/02/2010,-11.9,-1.4
13/02/2010,-12.4,-2.1
14/02/2010,-9.2,-0.8
15/02/2010,-18.8,-4.5
16/02/2010,-30.9,-17.4
17/02/2010,-35,-26.4
18/02/2010,-34.7,-16.3
19/02/2010,-28.9,-23.8
20/02/2010,-38.7,-25.2
21/02/2010,-33.6,-17
22/02/2010,-30.8,-20.6
23/02/2010,-38.4,-22.5
24/02/2010,-24.6,-15
25/02/2010,-32.7,-18.1
26/02/2010,-23.3,-13.7
27/02/2010,-34.6,-20.4
28/02/2010,-24,-11.4
01/03/2010,-16.4,-8.1
02/03/2010,-12.6,-6.3
03/03/2010,-27.9,-6.1
04/03/2010,-10.8,-3.2
05/03/2010,-21.5,-7.3
06/03/2010,-10.2,-1.4
07/03/2010,-7.6,2.6
08/03/2010,-13.2,-4.9
09/03/2010,-16.1,-5.7
10/03/2010,-15.1,-5.8
11/03/2010,-16.7,-5
12/03/2010,-21.2,-9
13/03/2010,-22.1,-8
14/03/2010,-29.3,-11
15/03/2010,-33.2,-8
16/03/2010,-21.7,-5.5
17/03/2010,-30,-9.9
18/03/2010,-20.1,-6.7
19/03/2010,-15.2,-5.8
20/03/2010,-19.6,-5.2
21/03/2010,-17.6,-3.2
22/03/2010,-9.7,-2.7
23/03/2010,-22.6,-4.3
24/03/2010,-26.9,-2.8
25/03/2010,-9.5,-3.6
26/03/2010,-8.3,-3
27/03/2010,-8,-5.4
28/03/2010,-7.8,-5.2
29/03/2010,-7.9,-4.9
30/03/2010,-10.6,-1
31/03/2010,-4.6,0.9
01/04/2010,-0.3,2.6
02/04/2010,-3.3,1.7
03/04/2010,-5.9,1.3
04/04/2010,-9.7,1.7
05/04/2010,-5.8,1
06/04/2010,-2,1.4
07/04/2010,-2.1,3.9
08/04/2010,-3.9,4.9
09/04/2010,0.1,4.2
10/04/2010,-5.9,6.2
11/04/2010,1.9,8.4
12/04/2010,-1.2,3
13/04/2010,-5.1,3.2
14/04/2010,-0.8,7.4
15/04/2010,-2.1,2.1
16/04/2010,-8.6,2.2
17/04/2010,-11,1.7
18/04/2010,-8.8,1.9
19/04/2010,-7.6,3.4
20/04/2010,-11,4.5
21/04/2010,-6,2.7
22/04/2010,-6.6,0.6
23/04/2010,-3.2,-0.3
24/04/2010,-7.2,3.6
25/04/2010,-7.4,3.4
26/04/2010,-1.7,4.2
27/04/2010,-6,1.5
28/04/2010,-5.1,1.9
29/04/2010,-11.3,3.1
30/04/2010,-1.6,2.5
01/05/2010,-1.3,3.2
02/05/2010,-0.5,4.3
03/05/2010,-6.9,4.1
04/05/2010,-3.6,3.8
05/05/2010,-2.6,1.1
06/05/2010,-7.8,7.1
07/05/2010,-1.1,7.8
08/05/2010,0.4,7
09/05/2010,-1,7.3
10/05/2010,0.6,7.2
11/05/2010,-0.4,9.4
12/05/2010,-1.7,11
13/05/2010,4.3,8.6
14/05/2010,3.5,16
15/05/2010,2.7,14.7
16/05/2010,3.6,23.2
17/05/2010,7.1,24.1
18/05/2010,4.9,12.2
19/05/2010,5.7,21.5
20/05/2010,4.8,12.5
21/05/2010,3.2,14.4
22/05/2010,4.5,11.4
23/05/2010,1.8,8.4
24/05/2010,2.3,12.6
25/05/2010,0.1,11
26/05/2010,-0.3,11
27/05/2010,1.7,12.3
28/05/2010,3.4,14.3
29/05/2010,6.7,13.7
30/05/2010,5.4,11.7
31/05/2010,0.4,9.8
01/06/2010,0.1,16.9
02/06/2010,7.7,13
03/06/2010,3.5,8.9
04/06/2010,-0.6,6.4
05/06/2010,0.7,6.9
06/06/2010,0.8,8.3
07/06/2010,1.3,12.4
08/06/2010,5.4,13.9
09/06/2010,0.6,10
10/06/2010,3.2,13.4
11/06/2010,6.3,15
12/06/2010,3.8,13.2
13/06/2010,5.7,11.1
14/06/2010,3,12.8
15/06/2010,2.4,15
16/06/2010,7.3,14.3
17/06/2010,8.5,17.9
18/06/2010,7.7,14.5
19/06/2010,6.9,11.2
20/06/2010,3,11.8
21/06/2010,3.6,11.3
22/06/2010,4.1,14.4
23/06/2010,4.1,16.6
24/06/2010,6.3,21
25/06/2010,10.5,20
26/06/2010,5.5,12.6
27/06/2010,4.3,13.1
28/06/2010,3.6,17.5
29/06/2010,10.7,17.3
30/06/2010,10.3,14.2
01/07/2010,6.6,15.2
02/07/2010,9,22
03/07/2010,10,19.2
04/07/2010,11.6,19.2
05/07/2010,11.5,22.8
06/07/2010,9.4,19.6
07/07/2010,8.6,21.1
08/07/2010,11.5,19.5
09/07/2010,10.8,18.2
10/07/2010,9,19.1
11/07/2010,11.8,19.6
12/07/2010,11.9,19.2
13/07/2010,9.3,15.3
14/07/2010,6.3,15.3
15/07/2010,6.4,15.5
16/07/2010,10,20.9
17/07/2010,13.1,18.8
18/07/2010,9.3,18.6
19/07/2010,7.6,17.8
20/07/2010,3.6,15.9
21/07/2010,8.5,13.4
22/07/2010,3.1,11.8
23/07/2010,5.5,17.9
24/07/2010,4,17.1
25/07/2010,6.6,17.1
26/07/2010,12.3,20.3
27/07/2010,14,20.8
28/07/2010,10.3,17.6
29/07/2010,12.3,18.3
30/07/2010,14.3,18.7
31/07/2010,11.5,21.1
01/08/2010,13.5,21.3
02/08/2010,10.3,17.5
03/08/2010,6.4,20.3
04/08/2010,11.8,17.6
05/08/2010,5.6,22.1
06/08/2010,12.4,23
07/08/2010,8.5,21.2
08/08/2010,11.8,18.4
09/08/2010,6.8,17.4
10/08/2010,8.6,19.5
11/08/2010,0,14.2
12/08/2010,8.4,22.4
13/08/2010,6.4,20
14/08/2010,6,14.4
15/08/2010,1.7,11
16/08/2010,0.8,14.4
17/08/2010,-1.4,12.2
18/08/2010,3.6,8.5
19/08/2010,5.7,16.2
20/08/2010,3,14.8
21/08/2010,7,12.1
22/08/2010,4.8,9.7
23/08/2010,-2,8.7
24/08/2010,3.1,7.5
25/08/2010,3.2,8.4
26/08/2010,2.8,8.7
27/08/2010,3.3,8.5
28/08/2010,3.4,8.3
29/08/2010,1.6,12.3
30/08/2010,1.5,12.3
31/08/2010,0.7,10
01/09/2010,-0.5,10.2
02/09/2010,-3.7,10.3
03/09/2010,-2.6,11.9
04/09/2010,6.7,13.1
05/09/2010,8.9,15.5
06/09/2010,1.2,14.9
07/09/2010,-1.4,18.8
08/09/2010,-0.5,11.9
09/09/2010,5,9.8
10/09/2010,0.9,11.8
11/09/2010,2.3,13
12/09/2010,8.8,14.5
13/09/2010,1,14
14/09/2010,8.1,10
15/09/2010,6.1,10.9
16/09/2010,3.4,12.1
17/09/2010,-0.6,12.6
18/09/2010,0.6,11.4
19/09/2010,-1.3,11.5
20/09/2010,1.1,7
21/09/2010,3.8,8.6
22/09/2010,-3.5,4.7
23/09/2010,0.7,8.9
24/09/2010,-0.8,8.3
25/09/2010,-1.2,8.1
26/09/2010,-2.2,9.9
27/09/2010,0.9,10.3
28/09/2010,-0.5,9
29/09/2010,-1.1,10.2
30/09/2010,0.7,10.4
01/10/2010,-0.6,4.6
02/10/2010,2.6,8.1
03/10/2010,4.6,10.5
04/10/2010,7.5,9.5
05/10/2010,6.7,9.5
06/10/2010,6.3,11
07/10/2010,3.4,13.2
08/10/2010,3,9.5
09/10/2010,-0.1,6
10/10/2010,-2.9,3
11/10/2010,-7,3.1
12/10/2010,-3.5,1.9
13/10/2010,-5.3,0.8
14/10/2010,-4.6,0.2
15/10/2010,-7.6,2.6
16/10/2010,0.1,3.3
17/10/2010,-0.9,5.1
18/10/2010,-0.4,4.5
19/10/2010,-2.1,1.1
20/10/2010,0,2
21/10/2010,-7.8,0.1
22/10/2010,-7.7,0.5
23/10/2010,-2.4,1.5
24/10/2010,-2.8,-0.4
25/10/2010,-12.6,-2.7
26/10/2010,-14.2,-4.4
27/10/2010,-4.4,0
28/10/2010,-14.3,-1.5
29/10/2010,-22.4,-11
30/10/2010,-11,-1.5
31/10/2010,-8.9,1.2
01/11/2010,-5.9,0.4
02/11/2010,-5.1,0.5
03/11/2010,-11.6,-0.6
04/11/2010,-18.4,-4.6
05/11/2010,-14.8,-7.9
06/11/2010,-21,-8.2
07/11/2010,-19.5,-7.4
08/11/2010,-17.9,-10.7
09/11/2010,-19.2,-12
10/11/2010,-15.6,-4.9
11/11/2010,-5.4,-3.3
12/11/2010,-10.5,-5.3
13/11/2010,-16.2,-10.5
14/11/2010,-24.9,-13.1
15/11/2010,-26.3,-19.1
16/11/2010,-23.4,-10.7
17/11/2010,-24.1,-17.8
18/11/2010,-24.4,-4.6
19/11/2010,-10.9,-6.8
20/11/2010,-17.4,-8.5
21/11/2010,-16.7,-3.6
22/11/2010,-24.5,-6.2
23/11/2010,-32,-23.6
24/11/2010,-31.1,-18.2
25/11/2010,-26.6,-14.6
26/11/2010,-29.4,-16
27/11/2010,-19.8,-12
28/11/2010,-26.7,-10.6
29/11/2010,-16.5,-6
30/11/2010,-6.6,-0.3
01/12/2010,-3.1,2.2
02/12/2010,-7.5,2
03/12/2010,-14.6,-7.3
04/12/2010,-22.7,-11.8
05/12/2010,-21.4,-4.3
06/12/2010,-8.5,-4.5
07/12/2010,-14.9,-8.5
08/12/2010,-28.4,-9.2
09/12/2010,-29.4,-17.6
10/12/2010,-31.1,-17
11/12/2010,-17.9,-6.7
12/12/2010,-29.1,-12
13/12/2010,-24.5,-13.7
14/12/2010,-26,-8.3
15/12/2010,-10.8,-5.2
16/12/2010,-17.4,-10.3
17/12/2010,-20.9,-12.2
18/12/2010,-29.9,-18.9
19/12/2010,-29.7,-21.3
20/12/2010,-22.7,-12.7
21/12/2010,-24.1,-7.7
22/12/2010,-18.1,-8.3
23/12/2010,-15,-6
24/12/2010,-13.5,-6.5
25/12/2010,-24.7,-11
26/12/2010,-29.4,-17.3
27/12/2010,-31.1,-26.7
28/12/2010,-31.7,-21.4
29/12/2010,-23.4,-13.1
30/12/2010,-25.6,-16.8
31/12/2010,-28.1,-16.6
01/01/2011,-16.6,-5.6
02/01/2011,-25.8,-8
03/01/2011,-30.1,-18.5
04/01/2011,-34.5,-19
05/01/2011,-23,-12.5
06/01/2011,-16.7,-12.7
07/01/2011,-25.2,-14.6
08/01/2011,-20.7,-9.8
09/01/2011,-10,-8.5
10/01/2011,-12,-4.8
11/01/2011,-10.5,-6.4
12/01/2011,-21.7,-8.2
13/01/2011,-31.8,-19
14/01/2011,-35.6,-25.9
15/01/2011,-25.9,-11.5
16/01/2011,-11.6,-10.1
17/01/2011,-20.3,-11
18/01/2011,-29.3,-16.9
19/01/2011,-29.4,-22.9
20/01/2011,-24.1,-10.4
21/01/2011,-20.6,-9.8
22/01/2011,-23.4,-7.7
23/01/2011,-15.1,-8.1
24/01/2011,-25,-12
25/01/2011,-20.2,-4.4
26/01/2011,-7.9,2
27/01/2011,-5.4,2.7
28/01/2011,-13.4,-4.6
29/01/2011,-20.1,-9.5
30/01/2011,-15.3,-7.5
31/01/2011,-11.5,-1.1
01/02/2011,-11.5,-9.8
02/02/2011,-10.4,-9.4
03/02/2011,-13.5,-9.6
04/02/2011,-17.5,-13.5
05/02/2011,-20.9,-17.3
06/02/2011,-27.2,-20.3
07/02/2011,-23.2,-18.4
08/02/2011,-32.2,-17.8
09/02/2011,-31.5,-18
10/02/2011,-29.4,-4.4
11/02/2011,-19.6,-10.3
12/02/2011,-32.6,-19.1
13/02/2011,-39,-29.6
14/02/2011,-41.5,-32.1
15/02/2011,-39.8,-23.8
16/02/2011,-40.8,-27.4
17/02/2011,-40.7,-24.2
18/02/2011,-34.2,-24.4
19/02/2011,-32.4,-18
20/02/2011,-33.5,-18.6
21/02/2011,-31.1,-16.2
22/02/2011,-29,-19.5
23/02/2011,-23.1,-15.8
24/02/2011,-19.5,-8.8
25/02/2011,-8.8,-1.9
26/02/2011,-3.9,-1
27/02/2011,-3.3,-0.6
28/02/2011,-5.1,-1.4
01/03/2011,-5.6,2.4
02/03/2011,-3.8,2.2
03/03/2011,-5.7,0.5
04/03/2011,-11.3,-3.8
05/03/2011,-14.5,-3.9
06/03/2011,-12.5,-0.1
07/03/2011,-5.3,3.3
08/03/2011,-2.4,2.3
09/03/2011,-7.3,-2.3
10/03/2011,-19,-6.6
11/03/2011,-12.8,-3.6
12/03/2011,-23.3,-4
13/03/2011,-19.5,-5.2
14/03/2011,-23.1,-3.3
15/03/2011,-16.7,-0.9
16/03/2011,-9.5,-2.6
17/03/2011,-10.6,-4.4
18/03/2011,-6.5,-0.8
19/03/2011,-13.2,0.6
20/03/2011,-2.9,1.4
21/03/2011,-8.5,2.2
22/03/2011,-14.3,-4.1
23/03/2011,-15.7,-6.8
24/03/2011,-16.5,-6.3
25/03/2011,-12.2,-3.7
26/03/2011,-11.3,-3.8
27/03/2011,-23.8,-4.9
28/03/2011,-27.2,-6.4
29/03/2011,-22.7,-3.2
30/03/2011,-14.8,-1.3
31/03/2011,-20.3,-2.9
01/04/2011,-3.6,1.1
02/04/2011,0.6,6.7
03/04/2011,-3.7,7.4
04/04/2011,-9.7,5.6
05/04/2011,-3.1,2.3
06/04/2011,-1.8,2.2
