MASK,KARTERAD,PALS,PALS_VATT,PALS_HA,PALSVATTHA,Shape_area,Shape_len,In_count,In_sum,In_mean,In_median,In_stdev,In_min,In_max,In_range,In_minority,In_majority,In_variety,In_variance,ro_count,ro_sum,ro_mean,ro_median,ro_stdev,ro_min,ro_max,ro_range,ro_minority,ro_majority,ro_variety,ro_variance
INOM,KLAR,"13","0",0.13000000,0.00000000,10000.00000000000,400.00000000000,25,0.0654789702966809,0.00261915881186724,0.00253860582597554,0.000824154762408877,0.00111682270653546,0.00414466112852097,0.00302783842198551,0.00111682270653546,0.00111682270653546,25,6.79231072401233e-07,2479,425.804077148438,0.171764452258345,0.14385986328125,0.135449477845263,0.00140380859375,0.80145263671875,0.800048828125,0.00140380859375,0.0126953125,1724,0.0183465610485544
INOM,KLAR,"18","7",0.18000000,0.07000000,10000.00000000000,400.00000000000,25,0.0187226968700998,0.00074890787480399,0.00060693605337292,0.000566032806823244,-0.000448058970505372,0.00173113995697349,0.00217919892747886,-0.000448058970505372,-0.000448058970505372,25,3.203931384002e-07,2500,358.221008300781,0.143288403320313,0.1156005859375,0.102876589779752,0.00518798828125,0.60382080078125,0.5986328125,0.00518798828125,0.03533935546875,1759,0.0105835927247113
INOM,KLAR,"61","3",0.61000000,0.03000000,10000.00000000000,400.00000000000,25,0.0080923268396873,0.000323693073587492,0.000471400155220181,0.000578422116397296,-0.000903779757209122,0.00109546328894794,0.00199924304615706,-0.000903779757209122,-0.000903779757209122,25,3.34572144737527e-07,2500,646.784606933594,0.258713842773438,0.2369384765625,0.147866922777346,0.01373291015625,0.7620849609375,0.74835205078125,0.01373291015625,0.1787109375,1980,0.0218646268516415
INOM,KLAR,"7","0",0.07000000,0.00000000,10000.00000000000,400.00000000000,25,0.0465561378805432,0.00186224551522173,0.00200527161359787,0.000660466755424753,0.000313804688630626,0.00302640767768025,0.00271260298904963,0.000313804688630626,0.000313804688630626,25,4.362163350213e-07,2500,470.772827148438,0.188309130859375,0.168731689453125,0.117919898883411,0.0081787109375,0.75665283203125,0.74847412109375,0.0081787109375,0.079345703125,1901,0.0139051025526738
INOM,KLAR,"0","4",0.00000000,0.04000000,10000.00000000000,400.00000000000,25,-0.021646349436196,-0.000865853977447841,-0.000884892011526972,0.0006230412847349,-0.00185853487346321,0.000312013609800488,0.0021705484832637,-0.00185853487346321,-0.00185853487346321,25,3.88180442484115e-07,2500,475.951721191406,0.190380688476563,0.16998291015625,0.113301245508296,0.01226806640625,0.7900390625,0.77777099609375,0.01226806640625,0.1031494140625,1789,0.0128371722337312
INOM,KLAR,"0","5",0.00000000,0.05000000,10000.00000000000,400.00000000000,25,-0.0301515330575057,-0.00120606132230023,-0.00129396608099341,0.000571373109401964,-0.00215601013042033,0.000221118141780607,0.00237712827220093,-0.00215601013042033,-0.00215601013042033,25,3.26467230147668e-07,2500,547.035278320313,0.218814111328125,0.204559326171875,0.112420901795004,0.0179443359375,0.787353515625,0.7694091796875,0.0179443359375,0.10992431640625,1802,0.0126384591604018
INOM,KLAR,"13","0",0.13000000,0.00000000,10000.00000000000,400.00000000000,25,-0.00223063298108173,-8.9225319243269e-05,-8.74271354405209e-05,0.000591439680214568,-0.00146290461998433,0.00126360775902867,0.002726512379013,-0.00146290461998433,-0.00146290461998433,25,3.49800895332311e-07,2500,431.49658203125,0.1725986328125,0.154052734375,0.103227282231232,0.010498046875,0.6988525390625,0.6883544921875,0.010498046875,0.05426025390625,1803,0.0106558717968464
INOM,KLAR,"11","1",0.11000000,0.01000000,10000.00000000000,400.00000000000,25,0.00819039947964484,0.000327615979185794,0.000488319608848542,0.000449616097723121,-0.00109235476702452,0.00113978458102793,0.00223213934805244,-0.00109235476702452,-0.00109235476702452,25,2.02154635331767e-07,2500,370.873596191406,0.148349438476563,0.086181640625,0.166260260908962,0.0087890625,0.95538330078125,0.94659423828125,0.0087890625,0.068603515625,1632,0.0276424743575162
INOM,KLAR,"38","4",0.38000000,0.04000000,10000.00000000000,400.00000000000,25,-0.0356129790507111,-0.00142451916202845,-0.00142021209467202,0.000848402448562629,-0.00279076560400426,0.000504471070598811,0.00329523667460307,-0.00279076560400426,-0.00279076560400426,25,7.19786714727064e-07,2500,874.951904296875,0.34998076171875,0.2420654296875,0.303505203976487,0.005859375,1.5889892578125,1.5831298828125,0.005859375,0.0340576171875,2011,0.0921154088408087
INOM,KLAR,"1","0",0.01000000,0.00000000,10000.00000000000,400.00000000000,25,-0.0790789885213599,-0.00316315954085439,-0.00327013805508614,0.000821108325257181,-0.00446604797616601,-0.00149434444028884,0.00297170353587717,-0.00446604797616601,-0.00446604797616601,25,6.74218881806652e-07,2500,481.414367675781,0.192565747070312,0.1514892578125,0.155337674812838,0.0086669921875,0.92974853515625,0.92108154296875,0.0086669921875,0.0302734375,1856,0.0241297932162589
